1,Article Title,Authors,Journal,Keywords,Abstract,Publication Year,DOI Link,Paper number,Read by,Overlapping papers,Relevant,Not_relevant_reason,Experiment_type,Management/Treatment_specific,Treatment_broad,Focus_broad,Focus_specific,Focus_details,BEF_focus,EF_group_broad,EF_group_specific,EF_specific,EF_details,Ecosystem function_measurement,Service/disservice,EF_dimens,EF_dimens_specific,Trophic level_function,AG_BG,Strata_EF,Relationship_management_function,context dependency_management_function,Biodiversity manipulation (broad),Biodiversity manipulation (specific),Dir/indir_biodiversity,Indirect_specific,Trophic level_biodiversity,Trophic group,Trophic group_broad,Functional group,Taxon_broad,Taxon_spec,Taxon_details,Div_level,Div_index,Div_index_specific,Relationship_diversity,Relationship assessment,Source result,Relationship_management_diversity,Context dependency_management_diversity,Climate change,Climate change (specific),Climate_response,Relationship_climate,Habitat,Habitat_response,Relationship_habitat,other covariate,which other covariate,BEF_context depend_broad,BEF_context depend_spec,Context dependency BEF_explanations,Ecosystem_type_broad,Ecosystem_type_specific,Continent,Country_broad,Country_details,GPS_N,GPS_E,Comment
83,Spatiotemporal variations in aphid-parasitoid relative abundance patterns and food webs in agricultural ecosystems,"Andrade, TO; Outreman, Y; Krespi, L; Plantegenest, M; Vialatte, A; Gauffre, B; van Baaren, J",ECOSPHERE,Aphididae; Aphidiinae; biodiversity; Braconidae; community structure; Hemiptera; host-parasitoid interactions; Hymenoptera,"Understanding the stability of communities is fundamental in theoretical and applied ecology. Organisms atop trophic chains are particularly sensitive to disturbance, especially when they are dependent on a specific trophic resource subject to strong fluctuations in density and quality, which is the case of parasitoids. We investigated the (1) variability in spatiotemporal relative abundance patterns of a cereal aphid parasitoid community, determining at what scales such patterns vary in agrosystems. We also investigated whether (2) parasitoid relative abundances are strongly influenced by host relative abundances and if (3) different host species are exploited at distinct rates. Aphid parasitoid populations were monitored in three remote agricultural regions in France between 2010 and 2012. Five parasitoid species (Hymenoptera: Braconidae: Aphidiinae) and three aphid species (Hemiptera: Aphididae) were identified in each of those three regions. Fields sampled in one region in a single year exhibited similar relative abundance patterns, with aphid parasitoid communities varying across regions and years. All parasitoid species were able to exploit each monitored host species. Metopolophium dirhodum Wlk was consistently a more frequent species among parasitized aphids than among living aphids, indicating that this aphid species was exploited at a higher rate than the other two aphid species found (Sitobion avenae F and Rhopalosiphum padi L). Those findings suggest the cereal aphid-parasitoid network is not strictly determined by the intrinsic permanent environmental characteristics but partially varies from one year to another. The similarity in abundance patterns in different fields of a region in a given year suggests the existence of a mechanism allowing a rapid synchronisation of the relative abundance patterns at an intra-regional scale. This phenomenon could be useful in predicting host-parasitoid communities and bear important consequences for the ecosystem service provided by parasitoids.",2015,http://dx.doi.org/10.1890/ES15-00010.1,48,Oksana,,No,No biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Food-web topology of Ukrainian mountain grasslands: Comparative properties and relations to ecosystem parameters,"Buzhdygan, OY; Rudenko, SS; Patten, BC; Kostyshyn, SS",ECOLOGICAL MODELLING,Trophic network; Food-web topology; Connectance; Link density; Complexity; Ecosystem parameters,"An important question in ecology is whether the food-web structure and ecosystem functions are related. This paper provide an empirical evidence for the food-web complexity-ecosystem properties relationships using the comparative analysis of food webs in seven mountain pastoral grasslands located in the Carpathian Mountain area of the Chernivtsi Region, Ukraine. Biomass of plant functional groups; grazing intensity; richness of different functional groups of the soil microorganisms; and geographical location of the study grasslands are observed ecosystem properties. Trophic networks consisting of N food and feeding categories (nodes, compartments) joined by L food transfers (links) were constructed for each studied pasture and the following network measures of their graph characteristics (topology) determined: food-web size (N), number of links (L), link density (LD = L/N), and connectance (C= L/N-2). Also the number of trophic classes and size of each trophic class are incorporated as the properties of the food-web architecture. Our data reveal that increase in species richness and food-web complexity increases the biomass of forbs within the study grasslands. Grazing intensity shows negative but statistically insignificant correlation with network measures. Our findings also reveal the longitudinal changes in connectance variation across the study food webs. It shows that temperature and elevation changes may also contribute toward the food-web connectance variation within the study area. Overall, our findings report plants to be the defining in network architecture. Furthermore grazing-susceptible plants show to be the driving variable in a food-web structure of the study grasslands. Our findings also reveal new aspects in behavioral patterns of food-web properties in relation to each other. Our data report link density to be the most sensitive parameter in relation to the other food-web measures. In contrast, connectance shows the least sensitivity to all other network measures, but the most sensitivity to the observed ecosystem parameters. (C) 2014 Elsevier B.V. All rights reserved.",2014,http://dx.doi.org/10.1016/j.ecolmodel.2014.05.003,49,Oksana,,No ,No ecosystem functions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Cover crops alter the soil nematode food web in banana agroecosystems,"Djigal, D; Chabrier, C; Duyck, PF; Achard, R; Queneherve, P; Tixier, P",SOIL BIOLOGY & BIOCHEMISTRY,Banana cropping system; Soil food web; Fabaceae; Poaceae; Bottom-up control; Top-down control,"Cover crops are increasingly being used in agriculture, primarily for weed or erosion management. The addition of cover crops increases the primary productivity of the system and diversifies basal resources for higher trophic levels. How increases in the quality and quantity of basal resources affect bottom-up and top-down control remains a key question in soil food web ecology. We evaluated the response of the nematode community to the introduction of cover crops between rows of a banana plantation. We measured changes in nematode food web structure and inferred the prevalence of bottom-up and top-down effects on the abundance of phytophagous nematodes (i.e., plant-feeding and root-hair-feeding species) 1.5 years after plots with cover crops (Poaceae or Fabaceae species) or bare soil were established. The addition of a cover crop greatly affected the structure and the abundance of the soil nematode community 1.5 years after planting. The abundance of all trophic groups except for plant-feeding nematodes tended to increase with the addition of cover crops. The Shannon Weaver diversity index and the enrichment index increased with the addition of cover crops, indicating that opportunistic, bacterivorous and fungivorous nematodes benefited from the added resources. Plant-feeding nematodes were least abundant in plots with Poaceae cover crops, while bacterivorous, omnivorous, and root-hair-feeding nematodes were more abundant with Fabaceae cover crops than with bare soil, indicating that cover crop identity or quality greatly affected soil food web structure. Bottom-up effects on all trophic groups other than plant-feeding nematodes were evident with Poaceae cover crops, suggesting an top-down control of plant-feeding nematodes by omnivorous nematodes. Conversely, plant-feeding nematodes were evidently not suppressed in Fabaceae cover crops, perhaps because bottom-up effects on omnivorous nematodes were weaker (hence, top-down control by omnivorous nematodes was weaker), and because Fabaceae cover crops probably served as good hosts for some plant-feeding nematodes. (C) 2012 Elsevier Ltd. All rights reserved.",2012,http://dx.doi.org/10.1016/j.soilbio.2012.01.026,50,Oksana,,Yes,NA,manipulative field experiment,Cover crop introduction between rows of a banana plantation,Land use intensity,Cover crop effects,Cover crop absence,cover crop absence,NA,predation/parasitism,predation,predation rate,top-down control of phytophagous nematodes,abundance of root-feeding nematodes affected by top-down controll (abundance of omnivores and carnivores),service,rate,rate,3,BG,soil,negative,cover crop functional group (grassess vs legumes),No,NA,indirect,via land use,"2,3,4",consumers,consumers,consumers,invertebrates,nematodes,nematodes,taxa,information indices,Shannon,NA,NA,NA,negative,cover crop functional group (grassess vs legumes),No,NA,NA,NA,"Yes, as management",NA,NA,Yes,"trophic group (nematodes), cover crop, root taxa, sampling year",NA,NA,NA,croplands,banana plantations,Europe,France,France,14°40'21.38'' N,60°59'50.07'' W,No BEF
86,Crop tree release increased the density of soil nematodes and improved the food web structure,"Yin, HF; Su, Y; Li, XW; Fan, C; Chen, G; Feng, MS; Liu, SZ; Guo, MJ; Li, XJ; Chen, YQ; Wu, DY",CANADIAN JOURNAL OF FOREST RESEARCH,disturbance; Pinus massoniana; soil environment; soil nematode community; trophic groups.,"As a special thinning method, crop tree release (CTR) has a beneficial effect on forest environments and structures by changing forest light, heat, and water. However, the impact of CTR on underground biodiversity remains unclear. Therefore, we analyzed the composition, diversity, and metabolic footprints of soil nematode communities under three CTR (100, 150, and 200 trees.ha(-1)) treatments, as well as a no CTR treatment, in Pinus massoniana Lamb. plantations. The results showed that CTR increased the density of soil nematodes (P < 0.05), the number of omnivore-predator nematodes (P < 0.05), and the diversity (H') of nematodes (P < 0.05) and enriched the food web structure of soil nematodes. In the medium CTR density treatment (150 trees.ha(-1)), the nematode density and diversity (H') were the highest (P < 0.05), the number of omnivore-predator nematodes was also the highest (P < 0.05), and the enrichment index and structure index values of the soil nematodes reached the maximum at the depth of 0-10 cm (P < 0.05). Our results indicated that the community structure of soil nematodes became more stable and mature after CTR, which may be attributed to the changes of soil condition, especially soil organic matter, and plant diversity indirectly.",2021,http://dx.doi.org/10.1139/cjfr-2020-0236,51,Oksana,,Yes,NA,manipulative field experiment,Crop tree release (forest thinning method),Disturbance,Disturbance,Disturbance,crop tree release,NA,predation/parasitism,predation,predator abundance,predator abundance,abundance of omnivore–predator nematodes,service,stock,stock,"3,4",BG,soil,positive,soil depths,No,NA,indirect,via land use,"2,3,4",consumers,consumers,consumers,invertebrates,nematodes,nematodes,taxa,information indices,Shannon,NA,NA,NA,positive,soil depths,No,NA,NA,NA,No,NA,NA,Yes,soil properties,NA,NA,NA,tree plantations,Pinus massoniana Lamb. plantations,Asia,China,"China, Huaying City, eastern Sichuan Basin","30°16'33"" N","106°44'12"" E","No BEF, test the effects of forest management technique"
87,Predation pressure in maize across Europe and in Argentina: an intercontinental comparison,"Ferrante, M; Lovei, GL; Magagnoli, S; Minarcikova, L; Tomescu, EL; Burgio, G; Cagan, L; Ichim, MC",INSECT SCIENCE,artificial caterpillars; ecosystem services; mortality; sentinel prey; transgenic plants,"Humankind draws important benefits from large-scale ecological processes termed ecosystem services, yet the status of several of them is declining. Reliable monitoring methods are essential for tracking the status of ecosystem services. Predation is the mainstay of natural pest control, a key ecosystem service. We used green plasticine caterpillars to monitor predation pressure, and to obtain baseline data on predator activity in transgenic Bt versus non-Bt maize fields in Old and New World countries. Predation pressure was measured at ground and canopy levels using an identical, small-plot experimental design in four European countries (Denmark, Slovakia, Romania and Italy) and Argentina. Total predation rate in maize was 11.7%d(-1) (min. 7.2%d(-1) in Argentina, max. 29.0%d(-1) in Romania). Artificial caterpillars were attacked both by invertebrates (mostly chewing insects with 42.0% of the attack marks, and ants with 7.1%, but also predatory and parasitoid wasps, spiders and slugs), and vertebrates (small mammals 25.5%, and birds 20.2%). Total predation at ground level (15.7%d(-1)) was significantly higher than in maize canopies (6.0%d(-1)) in all countries, except Argentina. We found no significant differences between predator pressure in Bt versus non-Bt maize plots. The artificial caterpillar method provided comparable, quantitative data on predation intensity, and proved to be suitable for monitoring natural pest control. This method usefully expands the existing toolkit by directly measuring ecological function rather than structure.",2019,http://dx.doi.org/10.1111/1744-7917.12550,52,Oksana,,No,No biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Decreasing predation rates and shifting predator compositions along a land-use gradient in Madagascar's vanilla landscapes,"Schwab, D; Wurz, A; Grass, I; Rakotomalala, AANA; Osen, K; Soazafy, MR; Martin, DA; Tscharntke, T",JOURNAL OF APPLIED ECOLOGY,conservation; dummy caterpillars; ecosystem functioning; land-use history; Madagascar; predation; shifting cultivation; vanilla agroforestry,"Land-use change is the main driver of deforestation and land degradation resulting in the loss of biodiversity and ecosystem functioning in north-eastern Madagascar. Vanilla, the region's main cash crop, is grown in agroforestry systems and may provide an opportunity for the conservation of biodiversity and ecosystem functioning. We used dummy caterpillars to assess predation rates and predator communities along a land-use gradient including unburned old-growth and forest fragments, herbaceous and woody fallows after shifting cultivation with fire usage, as well as rice paddies. The studied vanilla agroforests were either forest-derived or fallow-derived. Besides land-use type, we considered the effects of land-use history (unburned/burned), plot-level parameters and the landscape composition to conclude on management recommendations. Old-growth forest and forest fragments exhibited highest predation rates, which decreased with land-use intensity. Overall, predation was higher in unburned land-use types than in more open, previously burned habitats and rice paddies. High stem and vegetation densities were positively related to predation rates, but decreased with land-use intensity. High forest cover in the surrounding landscape led to higher predation rates, while local structural parameters remained more important. The predator community was arthropod-dominated across all land-use types with ants responsible for between 33% and 69% of all predation events. Overall predator composition in old-growth and forest fragments differed from all other land-use types. Predation by Gryllacrididae (Orthoptera) was lower in all land-use types, including forest-derived vanilla, than in old-growth forest and forest fragments, where they were important contributors to total predation. Vertebrate predation was low throughout. Synthesis and applications. Forested habitats feature higher predation rates and different predator compositions than other land-use systems. Maintaining or restoring tree- and understorey-rich vanilla agroforestry represents a viable tool in landscape conservation programmes as it has the potential to contribute to the conservation of predation as an important ecosystem function in both forest- and fallow-derived agroforests. However, vanilla agroforestry has limited value in conserving forest-specialized predator communities. While the establishment of tree-rich agroforests on former fallow land is favourable for conservation ecosystem functioning, further forest transformation should be avoided.",2021,http://dx.doi.org/10.1111/1365-2664.13766,53,Oksana,,No,No biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Testing the Paradox of Enrichment along a Land Use Gradient in a Multitrophic Aboveground and Belowground Community,"Meyer, KM; Vos, M; Mooij, WM; Hol, WHG; Termorshuizen, AJ; van der Putten, WH",PLOS ONE,,"In the light of ongoing land use changes, it is important to understand how multitrophic communities perform at different land use intensities. The paradox of enrichment predicts that fertilization leads to destabilization and extinction of predator-prey systems. We tested this prediction for a land use intensity gradient from natural to highly fertilized agricultural ecosystems. We included multiple aboveground and belowground trophic levels and land use-dependent searching efficiencies of insects. To overcome logistic constraints of field experiments, we used a successfully validated simulation model to investigate plant responses to removal of herbivores and their enemies. Consistent with our predictions, instability measured by herbivore-induced plant mortality increased with increasing land use intensity. Simultaneously, the balance between herbivores and natural enemies turned increasingly towards herbivore dominance and natural enemy failure. Under natural conditions, there were more frequently significant effects of belowground herbivores and their natural enemies on plant performance, whereas there were more aboveground effects in agroecosystems. This result was partly due to the boom-bust'' behavior of the shoot herbivore population. Plant responses to herbivore or natural enemy removal were much more abrupt than the imposed smooth land use intensity gradient. This may be due to the presence of multiple trophic levels aboveground and belowground. Our model suggests that destabilization and extinction are more likely to occur in agroecosystems than in natural communities, but the shape of the relationship is nonlinear under the influence of multiple trophic interactions. Citation: Meyer KM, Vos M, Mooij WM, Hol WHG, Termorshuizen AJ, et al. (2012) Testing the Paradox of Enrichment along a Land Use Gradient in a Multitrophic Aboveground and Belowground Community. PLoS ONE 7(11): e49034. doi:10.1371/journal.pone.0049034",2012,http://dx.doi.org/10.1371/journal.pone.0049034,54,Oksana,,Yes,NA,simulation model,Land use intensity (from natural to highly fertilized),Land use intensity,Fertilization,Fertilization,conventional,NA,yield,yield,plant survival,plant survival,plant mortality,service,flux,flux,1,AG,herb,negative,No,Yes,parasitoid and predator presence,direct,direct,3,"parasitoids, predators",2nd_cons,parasitoids and predators,invertebrates,arthropods,"Braconidae (Cotesia glomerata L.), Staphylinidae (Aleochara billineata Gyll.)",food web,top troph. level presence,top troph. level presence,positive,P-value,Fig. 3,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,abiotic properties of study system,AG vs BG,aboveground vs belowground,croplands,black mustard (Brassica nigra) monoculture,NA,NA,NA,NA,NA,"No management tests, simulated model"
90,Testing the Paradox of Enrichment along a Land Use Gradient in a Multitrophic Aboveground and Belowground Community,"Meyer, KM; Vos, M; Mooij, WM; Hol, WHG; Termorshuizen, AJ; van der Putten, WH",PLOS ONE,,"In the light of ongoing land use changes, it is important to understand how multitrophic communities perform at different land use intensities. The paradox of enrichment predicts that fertilization leads to destabilization and extinction of predator-prey systems. We tested this prediction for a land use intensity gradient from natural to highly fertilized agricultural ecosystems. We included multiple aboveground and belowground trophic levels and land use-dependent searching efficiencies of insects. To overcome logistic constraints of field experiments, we used a successfully validated simulation model to investigate plant responses to removal of herbivores and their enemies. Consistent with our predictions, instability measured by herbivore-induced plant mortality increased with increasing land use intensity. Simultaneously, the balance between herbivores and natural enemies turned increasingly towards herbivore dominance and natural enemy failure. Under natural conditions, there were more frequently significant effects of belowground herbivores and their natural enemies on plant performance, whereas there were more aboveground effects in agroecosystems. This result was partly due to the boom-bust'' behavior of the shoot herbivore population. Plant responses to herbivore or natural enemy removal were much more abrupt than the imposed smooth land use intensity gradient. This may be due to the presence of multiple trophic levels aboveground and belowground. Our model suggests that destabilization and extinction are more likely to occur in agroecosystems than in natural communities, but the shape of the relationship is nonlinear under the influence of multiple trophic interactions. Citation: Meyer KM, Vos M, Mooij WM, Hol WHG, Termorshuizen AJ, et al. (2012) Testing the Paradox of Enrichment along a Land Use Gradient in a Multitrophic Aboveground and Belowground Community. PLoS ONE 7(11): e49034. doi:10.1371/journal.pone.0049034",2012,http://dx.doi.org/10.1371/journal.pone.0049034,54,Oksana,,Yes,NA,simulation model,Land use intensity (from natural to highly fertilized),Land use intensity,Fertilization,Fertilization,conventional,NA,yield,yield,plant survival,plant survival,plant mortality,service,flux,flux,1,AG,herb,negative,No,Yes,hyperparasitoid presence,direct,direct,4,hyperparasitoids,2nd_cons,hyperparasitoids,invertebrates,arthropods,Ichneumonidae (Lysibia nana Gravenhorst),food web,top troph. level presence,top troph. level presence,neutral,P-value,Fig. 3,NA,NA,No,NA,NA,NA,No,NA,NA,No,NA,No,No,NA,croplands,black mustard (Brassica nigra) monoculture,NA,NA,NA,NA,NA,"No management tests, simulated model"
91,Disturbance by invasive pathogenic fungus alters arthropod predator-prey food-webs in ash plantations,"Michalko, R; Kosulic, O; Martinek, P; Birkhofer, K",JOURNAL OF ANIMAL ECOLOGY,body size; Fraxinus; Hymenoscyphus fraxineus; indirect interaction; network; spider,"According to the disturbance-succession theory, natural disturbances support biodiversity and are expected to increase the complexity of food-webs in forest ecosystems by opening canopies and creating a heterogeneous environment. However, a limited number of studies have investigated the impact of disturbance by invasive pathogenic species and succession on arthropod predator-prey food-webs in forest ecosystems. Hymenoscyphus fraxineus is a pathogenic fungus of ash trees that is invasive in Europe and causes massive dieback, mainly of the common ash Fraxinus excelsior across its native range. Here we investigated how this pathogenic fungus affects food-webs of web-building spiders and their prey in understorey vegetation of ash plantations. In 23 young and middle-aged ash plantations that were distributed along a gradient of infestation by H. fraxineus (29%-86% infestation), we measured the vegetation structure (canopy openness, shrub coverage, herb/grass coverage), the trait composition of local spider communities (web type, body size), the prey availability and the prey intercepted by spider webs. We then evaluated the multivariate prey composition (prey type, body size) and network properties. Hymenoscyphus fraxineus opened the ash tree canopy, which resulted in denser shrub coverage. The dense shrub vegetation changed the composition of web types in local spider communities and increasing fungus infestation resulted in reduced mean body size of spiders. Infestation by H. fraxineus reduced the availability of predaceous Coleoptera and increased the availability of herbivorous Coleoptera as potential prey. The mean body size of captured prey and the per capita capture rates of most prey groups decreased with increasing fungus infestation. Hymenoscyphus fraxineus infestation indirectly reduced the complexity in bipartite networks and the trophic functional complementarity in local web-building spider communities. The plantation age affected the vegetation structure but did not affect the studied food-webs. Forest disturbance by the invasive pathogen affected four trophic levels (plant-herbivore-coleopteran intermediate predator-top predator web-building spiders) and, contrary to the disturbance-succession theory, disturbance by the fungus simplified the web-building spider-prey food-webs. The results support the view that H. fraxineus represents a threat to the biodiversity and ecosystem functioning in the simplified ecosystems of ash plantations.",2021,http://dx.doi.org/10.1111/1365-2656.13537,55,Oksana,,Yes,NA,field observation,Disturbance (tree infestation by invasive pathogenic fungus),Disturbance,Disturbance,Disturbance,pathogen infection,NA,predation/parasitism,predation,predation rate,predation rate,number of active spider webs with prey remnants (prey intercepted by spider webs),service,rate,rate,"3,4",AG,tree canopy,negative,No,No,NA,indirect,via land use,"3,4",predators,2nd_cons,top predators,invertebrates,arthropods,spiders,taxa,richness,richness,NA,NA,NA,negative,No,No,NA,NA,NA,No,NA,NA,Yes,plantation age,NA,NA,NA,tree plantations,ash plantations (Fraxinus excelsior),Europe,Czech Republic,Czech Republic,48°57?57? N,16°36?23? E,No BEF
92,Disturbance by invasive pathogenic fungus alters arthropod predator-prey food-webs in ash plantations,"Michalko, R; Kosulic, O; Martinek, P; Birkhofer, K",JOURNAL OF ANIMAL ECOLOGY,body size; Fraxinus; Hymenoscyphus fraxineus; indirect interaction; network; spider,"According to the disturbance-succession theory, natural disturbances support biodiversity and are expected to increase the complexity of food-webs in forest ecosystems by opening canopies and creating a heterogeneous environment. However, a limited number of studies have investigated the impact of disturbance by invasive pathogenic species and succession on arthropod predator-prey food-webs in forest ecosystems. Hymenoscyphus fraxineus is a pathogenic fungus of ash trees that is invasive in Europe and causes massive dieback, mainly of the common ash Fraxinus excelsior across its native range. Here we investigated how this pathogenic fungus affects food-webs of web-building spiders and their prey in understorey vegetation of ash plantations. In 23 young and middle-aged ash plantations that were distributed along a gradient of infestation by H. fraxineus (29%-86% infestation), we measured the vegetation structure (canopy openness, shrub coverage, herb/grass coverage), the trait composition of local spider communities (web type, body size), the prey availability and the prey intercepted by spider webs. We then evaluated the multivariate prey composition (prey type, body size) and network properties. Hymenoscyphus fraxineus opened the ash tree canopy, which resulted in denser shrub coverage. The dense shrub vegetation changed the composition of web types in local spider communities and increasing fungus infestation resulted in reduced mean body size of spiders. Infestation by H. fraxineus reduced the availability of predaceous Coleoptera and increased the availability of herbivorous Coleoptera as potential prey. The mean body size of captured prey and the per capita capture rates of most prey groups decreased with increasing fungus infestation. Hymenoscyphus fraxineus infestation indirectly reduced the complexity in bipartite networks and the trophic functional complementarity in local web-building spider communities. The plantation age affected the vegetation structure but did not affect the studied food-webs. Forest disturbance by the invasive pathogen affected four trophic levels (plant-herbivore-coleopteran intermediate predator-top predator web-building spiders) and, contrary to the disturbance-succession theory, disturbance by the fungus simplified the web-building spider-prey food-webs. The results support the view that H. fraxineus represents a threat to the biodiversity and ecosystem functioning in the simplified ecosystems of ash plantations.",2021,http://dx.doi.org/10.1111/1365-2656.13537,55,Oksana,,Yes,NA,field observation,Disturbance (tree infestation by invasive pathogenic fungus),Disturbance,Disturbance,Disturbance,pathogen infection,NA,predation/parasitism,predation,predation rate,predation rate,number of active spider webs with prey remnants (prey intercepted by spider webs),service,rate,rate,"3,4",AG,tree canopy,negative,No,No,NA,indirect,via land use,"2,3,4",whole-food-web,whole-food-web,consumer food-weeb,invertebrates,arthropods,spider–prey food-webs,food web,complexity,complexity,NA,NA,NA,negative,No,No,NA,NA,NA,No,NA,NA,Yes,plantation age,NA,NA,NA,tree plantations,ash plantations (Fraxinus excelsior),Europe,Czech Republic,Czech Republic,48°57?57? N,16°36?23? E,No BEF
93,"Agroenergy Crops Influence the Diversity, Biomass, and Guild Structure of Terrestrial Arthropod Communities","Robertson, BA; Porter, C; Landis, DA; Schemske, DW",BIOENERGY RESEARCH,Biodiversity; Ecosystem services; Landscape ecology; Agroecology,"Expanded production of contemporary bioenergy crops (e.g., corn) is considered a threat to the conservation of biodiversity, yet next-generation perennially based crops (switchgrass, mixed-grass-forb prairie) may represent an opportunity for enhancing biodiversity in agricultural landscapes. We employed a multi-scaled approach to investigate the relative importance of feedstock selection, forb content, patch size, and landscape-scale habitat structure and composition as factors shaping the diversity and abundance of terrestrial arthropod communities and the biomass of functional groups of arthropods associated with the provisioning of ecosystem services. Compared to intensively managed annual corn fields, switchgrass and mixed-grass-forb prairie plantings were associated with a 230% and 324% increase in arthropod family diversity and a 750% and 2,700% increase in arthropod biomass, respectively. Biomass of arthropod pollinators, herbivores, predators, and parasites were similarly the highest in mixed-grass-forb prairie, intermediate in switchgrass plantings, and the lowest in cornfields. Community-wide biomass and that of several functional arthropod groups were positively linked to increasing forest cover and land cover diversity surrounding biomass plantings, while pollinator and detritivore biomass was lower in smaller fields. Results not only suggest that the choice of biomass feedstock will play an important role in shaping within-field arthropod diversity but also indicate an important role for the composition of this surrounding landscape. Collectively, our results suggest that selection of perennially based biomass feedstocks along with careful attention to crop placement have important potential to enhance biodiversity conservation and the provisioning of ecologically and economically important arthropod-mediated ecosystem services in future agricultural landscapes.",2012,http://dx.doi.org/10.1007/s12155-011-9161-3,56,Oksana,,Yes,NA,field observation,Agroenergy crop diversification (treatment: ranging from an intensively managed annual monoculture (corn fields) to perrenial monoculture of switchgrass and to diverse plantings of perennial grasslands (mixed-grass–forb prairie plantings); no land use tests),Biodiversity effects (observational),Plant diversity,Crop diversity,crop diversity,Biodiversity (as management tool),pollination,pollination,pollinator biomass,pollination,pollinator biomass from sweep netting,service,stock,stock,2,AG,herb,NA,No,No,NA,indirect,via land use,"2,3,4",consumers,consumers,consumers,invertebrates,arthropods,arthropods,taxa,richness,richness,NA,NA,NA,positive,No,No,NA,NA,NA,forest cover around study plantings,function,positive,Yes,field size,NA,NA,NA,croplands,agroenergy crops,North America,USA,"USA, southern Michigan",,,No BEF
93,"Agroenergy Crops Influence the Diversity, Biomass, and Guild Structure of Terrestrial Arthropod Communities","Robertson, BA; Porter, C; Landis, DA; Schemske, DW",BIOENERGY RESEARCH,Biodiversity; Ecosystem services; Landscape ecology; Agroecology,"Expanded production of contemporary bioenergy crops (e.g., corn) is considered a threat to the conservation of biodiversity, yet next-generation perennially based crops (switchgrass, mixed-grass-forb prairie) may represent an opportunity for enhancing biodiversity in agricultural landscapes. We employed a multi-scaled approach to investigate the relative importance of feedstock selection, forb content, patch size, and landscape-scale habitat structure and composition as factors shaping the diversity and abundance of terrestrial arthropod communities and the biomass of functional groups of arthropods associated with the provisioning of ecosystem services. Compared to intensively managed annual corn fields, switchgrass and mixed-grass-forb prairie plantings were associated with a 230% and 324% increase in arthropod family diversity and a 750% and 2,700% increase in arthropod biomass, respectively. Biomass of arthropod pollinators, herbivores, predators, and parasites were similarly the highest in mixed-grass-forb prairie, intermediate in switchgrass plantings, and the lowest in cornfields. Community-wide biomass and that of several functional arthropod groups were positively linked to increasing forest cover and land cover diversity surrounding biomass plantings, while pollinator and detritivore biomass was lower in smaller fields. Results not only suggest that the choice of biomass feedstock will play an important role in shaping within-field arthropod diversity but also indicate an important role for the composition of this surrounding landscape. Collectively, our results suggest that selection of perennially based biomass feedstocks along with careful attention to crop placement have important potential to enhance biodiversity conservation and the provisioning of ecologically and economically important arthropod-mediated ecosystem services in future agricultural landscapes.",2012,http://dx.doi.org/10.1007/s12155-011-9161-3,56,Oksana,,Yes,NA,field observation,Habitat complexity (as covariate),Habitat complexity (as covariate),Crop/non-crop lanscape,NA,NA,NA,pollination,pollination,pollinator biomass,pollination,pollinator biomass from sweep netting,service,stock,stock,2,AG,herb,positive,No,No,NA,indirect,via land use,"2,3,4",consumers,consumers,consumers,invertebrates,arthropods,arthropods,taxa,richness,richness,NA,NA,NA,positive,No,No,NA,NA,NA,forest cover around study plantings,function,positive,Yes,field size,NA,NA,NA,croplands,agroenergy crops,North America,USA,"USA, southern Michigan",,,No BEF
